cet_cest_timestamp,DE_solar_generation_actual
2017-05-21 00:00:00+00:00,1264788.0
2017-05-28 00:00:00+00:00,1432580.0
2017-06-04 00:00:00+00:00,1292686.0
2017-06-11 00:00:00+00:00,1246725.0
2017-06-18 00:00:00+00:00,1333793.0
2017-06-25 00:00:00+00:00,1325075.0
2017-07-02 00:00:00+00:00,957288.0
2017-07-09 00:00:00+00:00,1345218.0
2017-07-16 00:00:00+00:00,1027349.0
2017-07-23 00:00:00+00:00,1246903.0
2017-07-30 00:00:00+00:00,867220.0
2017-08-06 00:00:00+00:00,1087645.0
2017-08-13 00:00:00+00:00,864314.0
2017-08-20 00:00:00+00:00,1089976.0
2017-08-27 00:00:00+00:00,1149027.0
2017-09-03 00:00:00+00:00,924920.0
2017-09-10 00:00:00+00:00,755144.0
2017-09-17 00:00:00+00:00,687108.0
2017-09-24 00:00:00+00:00,729900.0
2017-10-01 00:00:00+00:00,664542.0
2017-10-08 00:00:00+00:00,460890.0
2017-10-15 00:00:00+00:00,572745.0
2017-10-22 00:00:00+00:00,572406.0
2017-10-29 00:00:00+00:00,310436.0
2017-11-05 00:00:00+00:00,348580.0
2017-11-12 00:00:00+00:00,147887.0
2017-11-19 00:00:00+00:00,200168.0
2017-11-26 00:00:00+00:00,180923.0
2017-12-03 00:00:00+00:00,128246.0
2017-12-10 00:00:00+00:00,115465.0
2017-12-17 00:00:00+00:00,127001.0
2017-12-24 00:00:00+00:00,69266.0
2017-12-31 00:00:00+00:00,135360.0
2018-01-07 00:00:00+00:00,132715.0
2018-01-14 00:00:00+00:00,174358.0
2018-01-21 00:00:00+00:00,143343.0
2018-01-28 00:00:00+00:00,175224.0
2018-02-04 00:00:00+00:00,226455.0
2018-02-11 00:00:00+00:00,322750.0
2018-02-18 00:00:00+00:00,455110.0
2018-02-25 00:00:00+00:00,642843.0
2018-03-04 00:00:00+00:00,677920.0
2018-03-11 00:00:00+00:00,543250.0
2018-03-18 00:00:00+00:00,465599.0
2018-03-25 00:00:00+00:00,758697.0
2018-04-01 00:00:00+00:00,618093.0
2018-04-08 00:00:00+00:00,1157753.0
2018-04-15 00:00:00+00:00,978461.0
2018-04-22 00:00:00+00:00,1343984.0
2018-04-29 00:00:00+00:00,1131323.0
2018-05-06 00:00:00+00:00,1296592.0
2018-05-13 00:00:00+00:00,1377516.0
2018-05-20 00:00:00+00:00,1177176.0
2018-05-27 00:00:00+00:00,1390265.0
2018-06-03 00:00:00+00:00,1347801.0
2018-06-10 00:00:00+00:00,1398475.0
2018-06-17 00:00:00+00:00,1114458.0
2018-06-24 00:00:00+00:00,1152925.0
2018-07-01 00:00:00+00:00,1420443.0
2018-07-08 00:00:00+00:00,1489801.0
2018-07-15 00:00:00+00:00,1245072.0
2018-07-22 00:00:00+00:00,1326858.0
2018-07-29 00:00:00+00:00,1435620.0
2018-08-05 00:00:00+00:00,1387975.0
2018-08-12 00:00:00+00:00,1310187.0
2018-08-19 00:00:00+00:00,1186038.0
2018-08-26 00:00:00+00:00,1064525.0
2018-09-02 00:00:00+00:00,849407.0
2018-09-09 00:00:00+00:00,977954.0
2018-09-16 00:00:00+00:00,948890.0
2018-09-23 00:00:00+00:00,902736.0
2018-09-30 00:00:00+00:00,1039169.0
2018-10-07 00:00:00+00:00,703593.0
