datetime_Europe_Brussels,solar_actual
2024-06-26 21:00:00+02:00,1194.0
2024-06-26 22:00:00+02:00,2.0
2024-06-26 23:00:00+02:00,0.0
2024-06-27 00:00:00+02:00,0.0
2024-06-27 01:00:00+02:00,0.0
2024-06-27 02:00:00+02:00,0.0
2024-06-27 03:00:00+02:00,0.0
2024-06-27 04:00:00+02:00,24.0
2024-06-27 05:00:00+02:00,2074.0
2024-06-27 06:00:00+02:00,12470.0
2024-06-27 07:00:00+02:00,33715.0
2024-06-27 08:00:00+02:00,65010.0
2024-06-27 09:00:00+02:00,100811.0
2024-06-27 10:00:00+02:00,129912.0
2024-06-27 11:00:00+02:00,148045.0
2024-06-27 12:00:00+02:00,151546.0
2024-06-27 13:00:00+02:00,146442.0
2024-06-27 14:00:00+02:00,136475.0
2024-06-27 15:00:00+02:00,120411.0
2024-06-27 16:00:00+02:00,99579.0
2024-06-27 17:00:00+02:00,75143.0
2024-06-27 18:00:00+02:00,46923.0
2024-06-27 19:00:00+02:00,23812.0
2024-06-27 20:00:00+02:00,8693.0
2024-06-27 21:00:00+02:00,958.0
2024-06-27 22:00:00+02:00,4.0
2024-06-27 23:00:00+02:00,0.0
2024-06-28 00:00:00+02:00,0.0
2024-06-28 01:00:00+02:00,0.0
2024-06-28 02:00:00+02:00,0.0
2024-06-28 03:00:00+02:00,0.0
2024-06-28 04:00:00+02:00,23.0
2024-06-28 05:00:00+02:00,2159.0
2024-06-28 06:00:00+02:00,13888.0
2024-06-28 07:00:00+02:00,37181.0
2024-06-28 08:00:00+02:00,68382.0
2024-06-28 09:00:00+02:00,101735.0
2024-06-28 10:00:00+02:00,132708.0
2024-06-28 11:00:00+02:00,149477.0
2024-06-28 12:00:00+02:00,152470.0
2024-06-28 13:00:00+02:00,152521.0
2024-06-28 14:00:00+02:00,151612.0
2024-06-28 15:00:00+02:00,143170.0
2024-06-28 16:00:00+02:00,123459.0
2024-06-28 17:00:00+02:00,98593.0
2024-06-28 18:00:00+02:00,64941.0
2024-06-28 19:00:00+02:00,32064.0
2024-06-28 20:00:00+02:00,10989.0
2024-06-28 21:00:00+02:00,1028.0
2024-06-28 22:00:00+02:00,2.0
2024-06-28 23:00:00+02:00,0.0
2024-06-29 00:00:00+02:00,0.0
2024-06-29 01:00:00+02:00,0.0
2024-06-29 02:00:00+02:00,0.0
2024-06-29 03:00:00+02:00,0.0
2024-06-29 04:00:00+02:00,23.0
2024-06-29 05:00:00+02:00,2406.0
2024-06-29 06:00:00+02:00,15455.0
2024-06-29 07:00:00+02:00,43007.0
2024-06-29 08:00:00+02:00,80239.0
2024-06-29 09:00:00+02:00,117266.0
2024-06-29 10:00:00+02:00,146383.0
2024-06-29 11:00:00+02:00,166465.0
2024-06-29 12:00:00+02:00,177588.0
2024-06-29 13:00:00+02:00,177978.0
2024-06-29 14:00:00+02:00,166771.0
2024-06-29 15:00:00+02:00,144801.0
2024-06-29 16:00:00+02:00,115477.0
2024-06-29 17:00:00+02:00,82011.0
2024-06-29 18:00:00+02:00,47920.0
2024-06-29 19:00:00+02:00,21540.0
2024-06-29 20:00:00+02:00,7089.0
2024-06-29 21:00:00+02:00,598.0
2024-06-29 22:00:00+02:00,2.0
2024-06-29 23:00:00+02:00,0.0
2024-06-30 00:00:00+02:00,0.0
2024-06-30 01:00:00+02:00,0.0
2024-06-30 02:00:00+02:00,0.0
2024-06-30 03:00:00+02:00,0.0
2024-06-30 04:00:00+02:00,10.0
2024-06-30 05:00:00+02:00,1197.0
2024-06-30 06:00:00+02:00,6505.0
2024-06-30 07:00:00+02:00,16123.0
2024-06-30 08:00:00+02:00,32233.0
2024-06-30 09:00:00+02:00,47934.0
2024-06-30 10:00:00+02:00,60671.0
2024-06-30 11:00:00+02:00,73752.0
2024-06-30 12:00:00+02:00,83510.0
2024-06-30 13:00:00+02:00,86464.0
2024-06-30 14:00:00+02:00,77792.0
2024-06-30 15:00:00+02:00,70493.0
2024-06-30 16:00:00+02:00,55871.0
2024-06-30 17:00:00+02:00,37294.0
2024-06-30 18:00:00+02:00,25671.0
2024-06-30 19:00:00+02:00,13682.0
2024-06-30 20:00:00+02:00,4924.0
2024-06-30 21:00:00+02:00,500.0
2024-06-30 22:00:00+02:00,1.0
2024-06-30 23:00:00+02:00,0.0
2024-07-01 00:00:00+02:00,0.0
2024-07-01 01:00:00+02:00,0.0
2024-07-01 02:00:00+02:00,0.0
2024-07-01 03:00:00+02:00,0.0
2024-07-01 04:00:00+02:00,11.0
2024-07-01 05:00:00+02:00,1411.0
2024-07-01 06:00:00+02:00,8241.0
2024-07-01 07:00:00+02:00,23021.0
2024-07-01 08:00:00+02:00,43601.0
2024-07-01 09:00:00+02:00,64633.0
2024-07-01 10:00:00+02:00,83774.0
2024-07-01 11:00:00+02:00,96662.0
2024-07-01 12:00:00+02:00,102863.0
2024-07-01 13:00:00+02:00,104946.0
2024-07-01 14:00:00+02:00,100943.0
2024-07-01 15:00:00+02:00,89416.0
2024-07-01 16:00:00+02:00,77989.0
2024-07-01 17:00:00+02:00,61757.0
2024-07-01 18:00:00+02:00,39890.0
2024-07-01 19:00:00+02:00,20513.0
2024-07-01 20:00:00+02:00,7293.0
2024-07-01 21:00:00+02:00,651.0
2024-07-01 22:00:00+02:00,2.0
2024-07-01 23:00:00+02:00,0.0
2024-07-02 00:00:00+02:00,0.0
2024-07-02 01:00:00+02:00,0.0
2024-07-02 02:00:00+02:00,0.0
2024-07-02 03:00:00+02:00,0.0
2024-07-02 04:00:00+02:00,11.0
2024-07-02 05:00:00+02:00,1493.0
2024-07-02 06:00:00+02:00,10411.0
2024-07-02 07:00:00+02:00,27025.0
2024-07-02 08:00:00+02:00,48844.0
2024-07-02 09:00:00+02:00,68782.0
2024-07-02 10:00:00+02:00,74932.0
2024-07-02 11:00:00+02:00,73210.0
2024-07-02 12:00:00+02:00,76580.0
2024-07-02 13:00:00+02:00,76675.0
2024-07-02 14:00:00+02:00,70822.0
2024-07-02 15:00:00+02:00,60027.0
2024-07-02 16:00:00+02:00,49182.0
2024-07-02 17:00:00+02:00,36590.0
2024-07-02 18:00:00+02:00,22958.0
2024-07-02 19:00:00+02:00,12367.0
2024-07-02 20:00:00+02:00,4268.0
2024-07-02 21:00:00+02:00,405.0
2024-07-02 22:00:00+02:00,2.0
2024-07-02 23:00:00+02:00,0.0
2024-07-03 00:00:00+02:00,0.0
2024-07-03 01:00:00+02:00,0.0
2024-07-03 02:00:00+02:00,0.0
2024-07-03 03:00:00+02:00,0.0
2024-07-03 04:00:00+02:00,9.0
2024-07-03 05:00:00+02:00,1313.0
2024-07-03 06:00:00+02:00,8256.0
2024-07-03 07:00:00+02:00,24145.0
2024-07-03 08:00:00+02:00,47243.0
2024-07-03 09:00:00+02:00,70768.0
2024-07-03 10:00:00+02:00,87623.0
2024-07-03 11:00:00+02:00,92355.0
2024-07-03 12:00:00+02:00,92010.0
2024-07-03 13:00:00+02:00,88275.0
2024-07-03 14:00:00+02:00,75959.0
2024-07-03 15:00:00+02:00,65218.0
2024-07-03 16:00:00+02:00,56707.0
2024-07-03 17:00:00+02:00,44867.0
2024-07-03 18:00:00+02:00,31051.0
2024-07-03 19:00:00+02:00,16965.0
2024-07-03 20:00:00+02:00,6246.0
2024-07-03 21:00:00+02:00,644.0
2024-07-03 22:00:00+02:00,1.0
2024-07-03 23:00:00+02:00,0.0
2024-07-04 00:00:00+02:00,0.0
2024-07-04 01:00:00+02:00,0.0
2024-07-04 02:00:00+02:00,0.0
2024-07-04 03:00:00+02:00,0.0
2024-07-04 04:00:00+02:00,11.0
2024-07-04 05:00:00+02:00,1193.0
2024-07-04 06:00:00+02:00,7988.0
2024-07-04 07:00:00+02:00,21358.0
2024-07-04 08:00:00+02:00,39388.0
2024-07-04 09:00:00+02:00,62032.0
2024-07-04 10:00:00+02:00,85360.0
2024-07-04 11:00:00+02:00,97707.0
2024-07-04 12:00:00+02:00,104102.0
2024-07-04 13:00:00+02:00,107835.0
2024-07-04 14:00:00+02:00,111551.0
2024-07-04 15:00:00+02:00,110670.0
2024-07-04 16:00:00+02:00,98897.0
2024-07-04 17:00:00+02:00,77665.0
2024-07-04 18:00:00+02:00,30428.0
