datetime_Europe_Brussels,solar_actual_MWh
2024-06-10 06:00:00+02:00,12299.0
2024-06-10 07:00:00+02:00,35149.0
2024-06-10 08:00:00+02:00,66959.0
2024-06-10 09:00:00+02:00,100185.0
2024-06-10 10:00:00+02:00,124241.0
2024-06-10 11:00:00+02:00,135359.0
2024-06-10 12:00:00+02:00,136338.0
2024-06-10 13:00:00+02:00,133977.0
2024-06-10 14:00:00+02:00,123413.0
2024-06-10 15:00:00+02:00,107750.0
2024-06-10 16:00:00+02:00,88165.0
2024-06-10 17:00:00+02:00,63099.0
2024-06-10 18:00:00+02:00,38272.0
2024-06-10 19:00:00+02:00,17861.0
2024-06-10 20:00:00+02:00,5338.0
2024-06-10 21:00:00+02:00,365.0
2024-06-10 22:00:00+02:00,0.0
2024-06-10 23:00:00+02:00,0.0
2024-06-11 00:00:00+02:00,0.0
2024-06-11 01:00:00+02:00,0.0
2024-06-11 02:00:00+02:00,0.0
2024-06-11 03:00:00+02:00,0.0
2024-06-11 04:00:00+02:00,28.0
2024-06-11 05:00:00+02:00,1640.0
2024-06-11 06:00:00+02:00,10001.0
2024-06-11 07:00:00+02:00,26971.0
2024-06-11 08:00:00+02:00,49584.0
2024-06-11 09:00:00+02:00,71694.0
2024-06-11 10:00:00+02:00,90142.0
2024-06-11 11:00:00+02:00,104425.0
2024-06-11 12:00:00+02:00,112247.0
2024-06-11 13:00:00+02:00,116532.0
2024-06-11 14:00:00+02:00,117693.0
2024-06-11 15:00:00+02:00,112338.0
2024-06-11 16:00:00+02:00,96107.0
2024-06-11 17:00:00+02:00,72654.0
2024-06-11 18:00:00+02:00,46393.0
2024-06-11 19:00:00+02:00,23298.0
2024-06-11 20:00:00+02:00,8752.0
2024-06-11 21:00:00+02:00,848.0
2024-06-11 22:00:00+02:00,2.0
2024-06-11 23:00:00+02:00,0.0
2024-06-12 00:00:00+02:00,0.0
2024-06-12 01:00:00+02:00,0.0
2024-06-12 02:00:00+02:00,0.0
2024-06-12 03:00:00+02:00,0.0
2024-06-12 04:00:00+02:00,38.0
2024-06-12 05:00:00+02:00,2412.0
2024-06-12 06:00:00+02:00,14602.0
2024-06-12 07:00:00+02:00,41682.0
2024-06-12 08:00:00+02:00,78451.0
2024-06-12 09:00:00+02:00,111671.0
2024-06-12 10:00:00+02:00,128495.0
2024-06-12 11:00:00+02:00,133484.0
2024-06-12 12:00:00+02:00,136436.0
2024-06-12 13:00:00+02:00,137259.0
2024-06-12 14:00:00+02:00,134204.0
2024-06-12 15:00:00+02:00,121297.0
2024-06-12 16:00:00+02:00,101614.0
2024-06-12 17:00:00+02:00,78384.0
2024-06-12 18:00:00+02:00,49099.0
2024-06-12 19:00:00+02:00,23920.0
2024-06-12 20:00:00+02:00,8260.0
2024-06-12 21:00:00+02:00,715.0
2024-06-12 22:00:00+02:00,1.0
2024-06-12 23:00:00+02:00,0.0
2024-06-13 00:00:00+02:00,0.0
2024-06-13 01:00:00+02:00,0.0
2024-06-13 02:00:00+02:00,0.0
2024-06-13 03:00:00+02:00,0.0
2024-06-13 04:00:00+02:00,35.0
2024-06-13 05:00:00+02:00,2518.0
2024-06-13 06:00:00+02:00,14028.0
2024-06-13 07:00:00+02:00,37704.0
2024-06-13 08:00:00+02:00,71246.0
2024-06-13 09:00:00+02:00,103455.0
2024-06-13 10:00:00+02:00,126488.0
2024-06-13 11:00:00+02:00,138214.0
2024-06-13 12:00:00+02:00,142716.0
2024-06-13 13:00:00+02:00,143398.0
2024-06-13 14:00:00+02:00,137520.0
2024-06-13 15:00:00+02:00,125858.0
2024-06-13 16:00:00+02:00,108911.0
2024-06-13 17:00:00+02:00,84843.0
2024-06-13 18:00:00+02:00,55931.0
2024-06-13 19:00:00+02:00,27648.0
2024-06-13 20:00:00+02:00,9056.0
2024-06-13 21:00:00+02:00,654.0
2024-06-13 22:00:00+02:00,1.0
2024-06-13 23:00:00+02:00,0.0
2024-06-14 00:00:00+02:00,0.0
2024-06-14 01:00:00+02:00,0.0
2024-06-14 02:00:00+02:00,0.0
2024-06-14 03:00:00+02:00,0.0
2024-06-14 04:00:00+02:00,25.0
2024-06-14 05:00:00+02:00,1640.0
2024-06-14 06:00:00+02:00,10201.0
2024-06-14 07:00:00+02:00,23229.0
2024-06-14 08:00:00+02:00,38973.0
2024-06-14 09:00:00+02:00,55809.0
2024-06-14 10:00:00+02:00,70961.0
2024-06-14 11:00:00+02:00,83258.0
2024-06-14 12:00:00+02:00,93073.0
2024-06-14 13:00:00+02:00,93791.0
2024-06-14 14:00:00+02:00,88580.0
2024-06-14 15:00:00+02:00,80852.0
2024-06-14 16:00:00+02:00,69648.0
2024-06-14 17:00:00+02:00,55483.0
2024-06-14 18:00:00+02:00,37408.0
2024-06-14 19:00:00+02:00,19782.0
2024-06-14 20:00:00+02:00,6714.0
2024-06-14 21:00:00+02:00,567.0
2024-06-14 22:00:00+02:00,0.0
2024-06-14 23:00:00+02:00,0.0
2024-06-15 00:00:00+02:00,0.0
2024-06-15 01:00:00+02:00,0.0
2024-06-15 02:00:00+02:00,0.0
2024-06-15 03:00:00+02:00,0.0
2024-06-15 04:00:00+02:00,34.0
2024-06-15 05:00:00+02:00,1957.0
2024-06-15 06:00:00+02:00,8733.0
2024-06-15 07:00:00+02:00,18365.0
2024-06-15 08:00:00+02:00,32066.0
2024-06-15 09:00:00+02:00,50821.0
2024-06-15 10:00:00+02:00,75762.0
2024-06-15 11:00:00+02:00,101344.0
2024-06-15 12:00:00+02:00,118721.0
2024-06-15 13:00:00+02:00,128263.0
2024-06-15 14:00:00+02:00,130416.0
2024-06-15 15:00:00+02:00,122736.0
2024-06-15 16:00:00+02:00,108258.0
2024-06-15 17:00:00+02:00,84532.0
2024-06-15 18:00:00+02:00,54532.0
2024-06-15 19:00:00+02:00,26438.0
2024-06-15 20:00:00+02:00,9414.0
2024-06-15 21:00:00+02:00,877.0
2024-06-15 22:00:00+02:00,5.0
2024-06-15 23:00:00+02:00,0.0
2024-06-16 00:00:00+02:00,0.0
2024-06-16 01:00:00+02:00,0.0
2024-06-16 02:00:00+02:00,0.0
2024-06-16 03:00:00+02:00,0.0
2024-06-16 04:00:00+02:00,39.0
2024-06-16 05:00:00+02:00,2197.0
2024-06-16 06:00:00+02:00,13192.0
2024-06-16 07:00:00+02:00,36727.0
2024-06-16 08:00:00+02:00,67452.0
2024-06-16 09:00:00+02:00,98140.0
